CodTransaccion,NroFormulario,CodCampus,Marca,Categoria,Tipo,ValUnid,Proveedor,NroSerial,EmpresaResponsable,Estado,Historial
327,966217823,MOU055,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091740,Campuslands,0,[]
327,966217823,CPU056,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON056,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39231,Campuslands,0,[]
327,966217823,TEC056,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070761,Campuslands,0,[]
327,966217823,MOU056,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090739,Campuslands,0,[]
327,966217823,CPU057,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON057,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39171,Campuslands,0,[]
327,966217823,TEC057,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070534,Campuslands,0,[]
327,966217823,MOU057,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090741,Campuslands,0,[]
327,966217823,CPU058,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON058,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39220,Campuslands,0,[]
327,966217823,TEC058,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070017,Campuslands,0,[]
327,966217823,MOU058,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091750,Campuslands,0,[]
327,966217823,CPU059,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON059,Compumax,Equipo de computo,Monitor,,Compumax Computer ,102SN55100,Campuslands,0,[]
327,966217823,TEC059,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070281,Campuslands,0,[]
327,966217823,MOU059,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091749,Campuslands,0,[]
327,966217823,CPU060,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON060,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39236,Campuslands,0,[]
327,966217823,TEC060,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070205,Campuslands,0,[]
327,966217823,MOU060,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090740,Campuslands,0,[]
327,966217823,CPU061,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON061,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39216,Campuslands,0,[]
327,966217823,TEC061,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070041,Campuslands,0,[]
327,966217823,MOU061,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091728,Campuslands,0,[]
327,966217823,CPU062,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON062,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39176,Campuslands,0,[]
327,966217823,TEC062,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070712,Campuslands,0,[]
327,966217823,MOU062,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090727,Campuslands,0,[]
327,966217823,CPU063,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON063,Compumax,Equipo de computo,Monitor,,Compumax Computer ,102SN55077,Campuslands,0,[]
327,966217823,TEC063,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070129,Campuslands,0,[]
327,966217823,MOU063,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091727,Campuslands,0,[]
327,966217823,CPU064,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON064,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39211,Campuslands,0,[]
327,966217823,TEC064,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070140,Campuslands,0,[]
327,966217823,MOU064,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091726,Campuslands,0,[]
327,966217823,CPU065,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON065,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39219,Campuslands,0,[]
327,966217823,TEC065,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070316,Campuslands,0,[]
327,966217823,MOU065,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090725,Campuslands,0,[]
327,966217823,CPU066,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON066,Compumax,Equipo de computo,Monitor,,Compumax Computer ,102SN55093,Campuslands,0,[]
327,966217823,TEC066,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070153,Campuslands,0,[]
327,966217823,MOU066,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090726,Campuslands,0,[]
327,966217823,CPU067,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON067,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39210,Campuslands,0,[]
327,966217823,TEC067,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070744,Campuslands,0,[]
327,966217823,MOU067,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091752,Campuslands,0,[]
327,966217823,CPU068,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON068,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39168,Campuslands,0,[]
327,966217823,TEC068,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070830,Campuslands,0,[]
327,966217823,MOU068,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090753,Campuslands,0,[]
327,966217823,CPU069,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON069,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39191,Campuslands,0,[]
327,966217823,TEC069,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070407,Campuslands,0,[]
327,966217823,MOU069,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091753,Campuslands,0,[]
327,966217823,CPU070,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON070,Compumax,Equipo de computo,Monitor,,Compumax Computer ,102SN55080,Campuslands,0,[]
327,966217823,TEC070,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070498,Campuslands,0,[]
327,966217823,MOU070,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090722,Campuslands,0,[]
327,966217823,CPU071,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
